[INFO] [1764463477.035377692] [cg_autonomous_navigator]: Tentando conectar ao serviço /get_map...
[INFO] [1764463477.035552374] [cg_autonomous_navigator]: Serviço /get_map disponível, enviando request...
[INFO] [1764463477.037126516] [cg_autonomous_navigator]: Mapa recebido: 29x29
[INFO] [1764463477.535880179] [cg_autonomous_navigator]: Caminho calculado com 165 passos.
[INFO] [1764463477.536572070] [cg_autonomous_navigator]: Movimento para (1, 2) bem-sucedido.
[WARN] [1764463478.035471082] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 3)
[WARN] [1764463478.535387744] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 4)
[WARN] [1764463479.035415272] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 5)
[WARN] [1764463479.535420466] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 6)
[WARN] [1764463480.035452911] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 7)
[WARN] [1764463480.535444459] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (2, 7)
[WARN] [1764463481.035455549] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 7)
[WARN] [1764463481.535461715] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (4, 7)
[WARN] [1764463482.035472236] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 7)
[WARN] [1764463482.535446418] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 8)
[WARN] [1764463483.035441831] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 9)
[WARN] [1764463483.535454827] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 10)
[WARN] [1764463484.035487450] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 11)
[WARN] [1764463484.535508650] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 12)
[WARN] [1764463485.035481689] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 13)
[WARN] [1764463485.535507695] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (4, 13)
[WARN] [1764463486.035494299] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 13)
[WARN] [1764463486.535499824] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 14)
[WARN] [1764463487.035535360] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 15)
[WARN] [1764463487.535536128] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 16)
[WARN] [1764463488.035560520] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 17)
[WARN] [1764463488.535513070] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (2, 17)
[WARN] [1764463489.035552744] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 17)
[WARN] [1764463489.535534435] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 18)
[WARN] [1764463490.035670147] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 19)
[WARN] [1764463490.535575430] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 20)
[WARN] [1764463491.035598300] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 21)
[WARN] [1764463491.535598843] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 22)
[WARN] [1764463492.035623450] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 23)
[WARN] [1764463492.535608883] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (2, 23)
[WARN] [1764463493.035702229] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 23)
[WARN] [1764463493.535659425] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 24)
[WARN] [1764463494.035608085] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 25)
[WARN] [1764463494.535735117] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (2, 25)
[WARN] [1764463495.035656595] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 25)
[WARN] [1764463495.535653905] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 26)
[WARN] [1764463496.035727188] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (1, 27)
[WARN] [1764463496.535650923] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (2, 27)
[WARN] [1764463497.035742657] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (3, 27)
[WARN] [1764463497.535654155] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (4, 27)
[WARN] [1764463498.035639056] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 27)
[WARN] [1764463498.535726003] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (6, 27)
[WARN] [1764463499.035676348] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 27)
[WARN] [1764463499.535685392] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (8, 27)
[WARN] [1764463500.035693403] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 27)
[WARN] [1764463500.535697951] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 26)
[WARN] [1764463501.035728772] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 25)
[WARN] [1764463501.535745477] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 24)
[WARN] [1764463502.035718477] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 23)
[WARN] [1764463502.535723847] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 22)
[WARN] [1764463503.035737568] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 21)
[WARN] [1764463503.535737920] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (10, 21)
[WARN] [1764463504.035746901] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 21)
[WARN] [1764463504.535753234] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 20)
[WARN] [1764463505.035762368] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 19)
[WARN] [1764463505.535764423] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 18)
[WARN] [1764463506.035778377] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 17)
[WARN] [1764463506.535781820] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (10, 17)
[WARN] [1764463507.035800556] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 17)
[WARN] [1764463507.535801455] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 18)
[WARN] [1764463508.035800216] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 19)
[WARN] [1764463508.535818485] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (8, 19)
[WARN] [1764463509.035820645] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 19)
[WARN] [1764463509.535823271] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 18)
[WARN] [1764463510.035837426] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 17)
[WARN] [1764463510.535834595] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (6, 17)
[WARN] [1764463511.035853260] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 17)
[WARN] [1764463511.535851155] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 16)
[WARN] [1764463512.035866238] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (5, 15)
[WARN] [1764463512.535874745] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (6, 15)
[WARN] [1764463513.035874150] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 15)
[WARN] [1764463513.535882753] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 14)
[WARN] [1764463514.035891546] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 13)
[WARN] [1764463514.535897201] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 12)
[WARN] [1764463515.035903631] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (7, 11)
[WARN] [1764463515.535918257] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (8, 11)
[WARN] [1764463516.035920855] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (9, 11)
[WARN] [1764463516.535928153] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (10, 11)
[WARN] [1764463517.035944330] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 11)
[WARN] [1764463517.535949982] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 10)
[WARN] [1764463518.035946333] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (11, 9)
[WARN] [1764463518.535960523] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (12, 9)
[WARN] [1764463519.035967872] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 9)
[WARN] [1764463519.535970767] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 10)
[WARN] [1764463520.035981637] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 11)
[WARN] [1764463520.536087881] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (14, 11)
[WARN] [1764463521.035993164] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (15, 11)
[WARN] [1764463521.536025460] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (16, 11)
[WARN] [1764463522.036024126] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 11)
